,dealer_card1,delear_card2,player_card1,player_card2,unused_card,reward,action
78,20,10,10,4,3,1,0
79,20,10,10,5,9,1,1
80,3,20,4,10,5,1,1
81,4,5,8,9,10,-1,0
82,10,5,9,10,7,-1,0
83,7,9,20,10,10,-1,1
84,11,10,8,2,4,-1,0
85,10,5,10,20,8,-1,0
86,9,4,10,6,10,-1,0
87,3,10,10,2,10,-1,1
88,8,10,5,10,9,-1,1
89,5,10,10,8,2,1,0
90,10,2,7,5,11,0,1
91,2,4,3,8,5,1,0
92,10,5,10,6,7,-1,0
93,10,3,10,10,2,-1,0
94,10,6,7,20,10,-1,1
95,4,9,10,20,8,-1,0
96,2,5,10,9,8,1,1
97,2,10,9,7,5,1,1
98,3,10,6,11,8,-1,0
99,6,2,10,10,4,-1,0
100,4,20,8,10,6,1,1
101,7,6,20,10,8,-1,1
102,3,6,5,10,10,-1,0
103,6,8,3,20,9,-1,0
104,7,10,11,4,5,-1,1
105,11,4,10,9,10,-1,0
106,7,20,8,9,10,1,1
107,8,5,10,9,20,-1,0
108,20,10,9,10,4,0,0
109,10,10,4,10,20,-1,1
110,9,2,10,7,8,1,1
111,10,8,2,20,5,-1,0
112,4,7,8,2,10,-1,1
113,20,9,3,10,2,1,1
114,4,9,10,7,10,-1,0
115,4,7,3,5,10,-1,1
116,4,9,6,20,2,-1,0
117,4,10,10,7,10,-1,0
118,8,11,4,9,10,-1,1
119,8,20,5,7,3,1,1
120,3,9,20,10,10,-1,0
121,9,20,10,3,10,0,0
122,6,2,7,10,9,-1,0
123,9,10,8,5,6,-1,1
124,10,10,11,2,8,1,0
125,3,8,10,10,20,-1,0
126,11,20,4,3,10,1,1
127,8,10,11,3,5,1,0
128,10,7,10,10,8,-1,0
129,9,11,4,6,10,0,0
130,2,3,6,10,10,1,1
131,20,5,9,10,10,0,0
132,4,2,10,8,9,1,1
133,10,10,8,6,11,-1,1
134,20,11,2,6,7,1,0
135,9,10,7,8,3,-1,0
136,10,10,6,9,5,-1,1
137,20,10,3,10,2,1,1
138,4,11,10,20,6,-1,0
139,7,6,9,8,10,-1,0
140,10,3,8,20,10,-1,0
141,8,4,6,10,10,-1,0
142,4,10,5,10,10,1,1
143,4,20,2,10,8,1,0
144,10,9,6,10,2,-1,0
145,7,9,2,10,10,-1,0
146,10,11,20,10,10,-1,0
147,10,3,11,8,5,1,1
148,10,11,8,5,20,-1,0
149,20,6,4,2,11,1,0
150,9,7,5,11,8,0,1
151,20,10,10,9,10,0,0
152,3,7,10,2,8,1,1
153,8,7,11,10,20,1,1
154,2,6,9,11,7,-1,0
155,10,2,6,3,10,-1,1
156,20,2,11,4,8,0,0
157,8,20,3,11,5,1,1
158,7,6,10,10,5,-1,0
159,20,2,6,8,7,1,1
160,10,10,10,2,7,-1,1
161,3,6,7,2,10,0,1
162,10,3,6,10,5,1,1
163,9,10,20,2,8,-1,1
164,7,3,10,20,9,-1,0
165,7,5,6,2,10,-1,1
166,6,10,11,9,2,1,1
167,8,10,6,9,5,1,0
168,6,10,10,3,10,-1,1
169,6,10,2,4,8,-1,0
170,7,11,20,2,3,-1,0
171,10,9,5,20,3,-1,1
172,10,4,5,2,8,1,0
173,10,9,10,6,8,-1,0
174,10,11,10,10,3,-1,0
175,10,9,10,6,10,-1,1
176,8,5,6,11,9,-1,0
177,4,3,10,5,9,-1,0
178,10,10,4,5,10,-1,1
179,11,5,3,10,20,-1,1
180,5,10,2,20,8,-1,1
181,9,3,6,10,5,1,1
182,7,2,9,10,20,-1,0
183,2,7,10,5,10,-1,0
184,7,9,3,2,10,-1,1
185,2,6,11,3,20,1,1
186,10,10,2,11,10,-1,0
187,10,20,7,4,10,1,0
188,10,20,4,11,7,0,0
189,10,11,6,3,4,-1,0
190,20,6,11,8,5,0,0
191,4,10,10,6,8,-1,0
192,4,10,10,3,9,-1,1
193,10,6,4,3,10,1,0
194,7,9,10,4,11,-1,0
195,10,10,8,6,10,-1,0
196,5,10,11,8,9,-1,0
197,3,6,20,8,5,-1,0
198,10,10,11,6,7,-1,0
199,10,10,2,10,11,-1,1
200,7,20,10,2,10,1,1
201,9,7,2,10,8,-1,1
202,8,10,11,6,3,1,0
203,20,6,8,10,10,0,0
204,10,7,20,6,2,-1,1
205,9,4,20,6,10,-1,0
206,9,11,10,5,10,-1,1
207,3,8,10,10,4,-1,0
208,3,10,10,5,7,1,1
209,20,6,11,5,2,1,1
210,10,4,9,3,2,-1,1
211,2,3,10,10,7,1,1
212,11,9,8,20,3,-1,1
213,10,5,4,6,3,-1,0
214,10,10,6,2,7,-1,0
215,10,9,5,10,11,-1,0
216,7,4,6,10,10,1,1
217,10,10,9,3,2,-1,0
218,2,6,11,10,10,1,1
219,9,7,10,6,10,0,1
220,10,4,6,2,10,-1,1
221,10,5,8,11,20,-1,0
222,5,10,6,10,10,-1,0
223,3,10,10,11,7,1,1
224,3,5,10,10,6,1,1
225,4,2,3,5,9,1,0
226,8,3,11,10,10,1,1
227,7,6,20,5,10,-1,1
228,20,3,10,10,9,0,0
229,4,10,2,10,9,-1,1
230,10,6,4,5,10,-1,1
231,5,10,9,3,20,-1,0
232,10,7,10,3,6,1,0
233,10,3,2,11,10,0,1
234,6,10,10,9,2,1,0
235,2,10,11,5,3,1,1
236,2,3,8,4,10,1,1
237,3,9,10,11,4,1,1
238,10,10,4,8,11,-1,0
239,6,11,10,3,20,-1,0
240,11,10,20,2,9,-1,1
241,10,5,8,7,10,-1,0
242,7,10,10,10,2,-1,0
243,6,5,10,20,10,-1,1
244,20,7,10,10,5,0,0
245,7,6,5,20,2,-1,0
246,10,5,4,3,10,1,0
247,8,10,6,3,4,-1,1
248,6,11,10,10,3,1,1
249,10,10,5,11,20,-1,0
250,3,6,4,10,9,-1,0
251,11,5,2,20,10,-1,1
252,3,5,8,10,10,1,1
253,8,4,9,2,20,-1,0
254,7,11,8,9,20,-1,0
255,4,8,7,10,9,1,1
256,11,10,2,8,4,-1,0
257,10,7,20,6,10,-1,1
258,3,10,11,20,10,-1,0
259,4,3,10,5,10,-1,0
260,5,10,7,2,3,-1,0
261,11,3,10,10,8,-1,0
262,3,7,2,9,11,-1,0
263,7,8,20,4,10,-1,1
264,10,4,7,3,10,-1,1
265,10,8,9,10,7,-1,0
266,20,4,10,10,5,0,0
267,5,10,8,20,6,-1,0
268,7,9,10,6,10,-1,0
269,7,3,6,10,5,1,1
270,10,20,9,10,8,1,1
271,10,8,5,10,6,1,0
272,10,8,11,20,10,-1,0
273,20,10,11,5,10,1,1
274,10,3,5,6,7,1,0
275,6,9,5,20,8,-1,1
276,8,10,11,2,5,0,0
277,10,11,7,3,9,-1,0
278,3,5,6,10,10,-1,0
279,10,10,8,20,2,-1,0
280,2,8,11,10,10,1,1
281,10,7,3,6,9,1,0
282,9,10,10,5,20,-1,0
283,2,10,6,3,5,-1,1
284,9,10,20,8,10,-1,1
285,5,4,10,10,3,-1,0
286,10,10,5,2,11,-1,0
287,10,11,3,10,20,-1,0
288,10,6,7,4,11,-1,0
289,9,20,7,10,5,1,1
290,7,11,20,2,10,-1,1
291,8,4,10,11,10,1,1
292,9,10,10,2,11,-1,0
293,3,10,11,10,7,1,1
294,3,10,8,7,20,-1,0
295,4,6,10,10,9,1,1
296,5,6,10,8,7,1,1
297,6,4,20,7,3,-1,1
298,5,9,10,4,7,1,0
299,9,6,7,20,11,-1,1
300,3,2,11,10,4,1,1
301,10,5,2,10,11,-1,0
302,9,4,8,6,5,1,1
303,8,10,11,7,4,-1,0
304,20,7,3,2,10,1,1
305,10,11,20,3,5,-1,1
306,20,7,4,10,6,1,1
307,10,10,3,10,7,-1,1
308,2,10,9,8,10,1,1
309,10,10,10,7,8,-1,1
310,10,4,11,5,3,1,0
311,3,9,10,4,10,1,1
312,8,10,10,2,9,-1,1
313,5,11,20,10,7,-1,0
314,5,20,10,6,10,1,1
315,2,20,4,9,10,0,0
316,10,11,2,5,3,-1,0
317,10,10,11,5,7,-1,0
318,20,11,3,10,4,1,1
319,8,5,10,10,6,1,1
320,4,9,2,11,6,1,0
321,20,11,6,10,9,1,1
322,11,10,10,6,5,-1,1
323,4,8,9,6,20,1,1
324,10,6,20,7,3,-1,0
325,10,5,7,10,4,1,0
326,10,8,10,6,7,-1,1
327,7,2,20,10,6,-1,0
328,7,10,10,8,10,1,1
329,10,11,10,9,20,-1,0
330,10,20,3,2,10,1,1
331,2,20,5,11,4,1,1
332,4,20,10,8,9,1,1
333,11,10,10,20,5,-1,1
334,6,10,8,10,11,1,1
335,9,6,7,5,3,0,0
336,4,2,11,7,3,1,0
337,20,9,5,2,3,1,1
338,5,10,11,9,10,1,1
339,7,2,9,5,10,-1,0
340,2,4,10,5,10,1,1
341,8,20,9,2,10,1,1
342,10,2,9,10,5,1,1
343,5,11,6,4,10,1,0
344,5,2,9,4,10,-1,0
345,2,10,6,20,10,-1,0
346,10,9,10,7,11,-1,1
347,10,4,6,2,10,-1,1
348,6,20,8,10,10,1,1
349,10,20,5,6,8,1,1
350,20,9,10,8,10,0,0
351,10,10,2,10,9,1,0
352,20,2,8,10,11,0,0
353,4,10,9,8,7,1,1
354,7,6,10,10,3,1,1
355,11,3,10,20,10,-1,1
356,11,9,6,8,7,-1,1
357,5,9,20,2,11,-1,1
358,20,6,11,10,7,1,1
359,2,9,8,10,6,1,1
360,4,8,3,10,6,1,0
361,6,9,20,10,4,-1,1
362,10,10,7,11,6,-1,1
363,8,10,4,11,10,-1,1
364,10,10,6,2,4,-1,1
365,4,10,6,10,10,-1,0
366,8,11,10,2,10,-1,1
367,5,9,10,7,8,1,1
368,4,10,7,10,5,1,1
369,10,20,10,3,8,1,1
370,2,10,7,8,10,1,1
371,10,11,6,3,10,-1,0
372,8,10,10,10,4,1,1
373,9,3,2,6,10,-1,1
374,8,20,10,10,3,1,1
375,8,3,7,10,10,1,1
376,9,6,4,8,5,-1,1
377,5,20,11,4,10,1,1
378,10,9,3,10,10,-1,0
379,10,10,7,5,10,-1,0
380,7,4,8,20,10,-1,0
381,10,20,7,10,10,0,0
382,4,2,7,8,10,1,1
383,10,10,2,20,10,-1,0
384,4,2,10,10,10,1,1
385,2,8,10,20,10,-1,0
386,8,10,11,10,3,1,1
387,10,2,8,10,6,-1,0
388,7,5,11,2,4,1,0
389,11,8,3,20,4,-1,0
390,10,9,7,20,5,-1,1
391,9,2,10,3,8,1,1
392,10,3,20,8,10,-1,1
393,5,9,10,8,10,1,1
394,2,7,11,9,4,-1,0
395,3,2,6,7,11,-1,0
396,10,5,9,2,4,0,0
397,4,8,7,10,20,-1,0
398,8,20,3,7,10,1,1
399,10,3,10,7,9,-1,0
400,7,2,9,11,5,-1,0
401,10,3,20,10,4,-1,1
402,11,10,5,10,3,-1,0
403,2,5,7,3,11,1,1
404,11,10,10,6,9,-1,1
405,10,10,8,2,10,0,0
406,20,8,6,10,4,1,1
407,9,11,10,2,10,-1,0
408,4,7,10,6,8,-1,0
409,2,20,10,8,6,0,0
410,10,7,5,2,4,-1,0
411,8,5,10,3,20,0,1
412,10,11,8,9,2,-1,1
413,2,5,10,8,3,1,0
414,10,10,11,10,9,1,1
415,10,7,6,2,10,-1,1
416,10,10,6,2,5,-1,1
417,10,4,9,5,11,-1,0
418,20,10,6,10,10,1,1
419,20,8,7,9,3,1,1
420,20,10,8,10,7,1,1
421,8,6,20,2,7,-1,1
422,6,11,5,9,20,-1,0
423,4,3,5,9,2,1,1
424,9,10,4,8,20,-1,1
425,10,5,10,2,8,-1,1
426,5,4,10,6,10,-1,0
427,2,3,5,10,10,-1,0
428,20,10,5,11,9,1,1
429,5,8,10,2,4,-1,1
430,7,11,10,2,5,-1,0
431,10,10,9,6,5,-1,1
432,8,6,10,3,11,-1,0
433,20,11,2,3,8,1,0
434,4,11,6,10,8,1,1
435,8,10,10,11,3,1,1
436,6,9,4,11,10,0,1
437,10,3,20,7,9,-1,1
438,5,9,10,10,10,-1,0
439,10,20,11,10,8,1,1
440,8,10,6,11,9,-1,0
441,6,3,5,20,9,-1,1
442,2,11,10,9,10,-1,0
443,3,8,10,4,10,1,1
444,10,9,11,4,10,-1,1
445,4,11,10,8,2,1,0
446,7,10,9,5,11,-1,0
447,11,7,8,20,9,-1,1
448,10,9,5,4,20,-1,1
449,11,9,2,8,7,-1,1
450,11,6,10,20,10,-1,1
451,10,10,10,11,9,1,1
452,11,5,2,8,20,-1,1
453,10,6,11,4,7,-1,1
454,9,10,8,3,4,-1,1
455,10,20,7,6,9,0,0
456,4,10,5,8,6,-1,1
457,5,2,10,10,4,1,1
458,10,6,5,2,3,-1,1
459,10,11,2,3,10,-1,0
460,2,20,4,10,9,1,1
461,10,9,7,5,3,-1,0
462,20,4,10,10,10,1,1
463,10,3,20,4,6,-1,0
464,20,10,3,10,2,1,0
465,10,4,3,6,20,-1,0
466,9,20,6,7,8,1,1
467,2,20,10,5,10,0,0
468,6,9,10,5,3,0,1
469,11,20,10,4,2,1,0
470,7,5,10,4,9,-1,0
471,20,10,10,9,2,1,0
472,10,9,7,3,4,-1,1
473,8,9,3,5,10,1,0
474,6,10,10,11,10,1,1
475,6,20,10,7,8,1,1
476,10,2,11,7,6,-1,0
477,10,10,7,3,20,-1,1
478,7,9,6,10,8,-1,0
479,7,6,8,3,10,-1,1
480,3,5,10,20,2,-1,0
481,10,5,2,7,20,-1,1
482,11,20,5,10,9,1,1
483,10,11,6,10,4,-1,0
484,8,20,10,10,3,1,1
485,9,5,10,6,10,1,1
486,20,10,7,2,10,1,1
487,7,20,4,5,9,1,1
488,6,11,2,10,7,-1,1
489,10,10,4,11,7,-1,1
490,10,10,5,4,20,-1,0
491,10,10,6,8,4,-1,1
492,9,10,4,8,20,-1,0
493,10,8,11,7,2,0,1
494,6,10,9,20,4,-1,1
495,10,10,10,11,8,1,1
496,5,20,6,3,7,1,0
497,11,7,8,20,6,-1,0
498,2,8,5,9,10,-1,0
499,20,5,10,10,10,0,0
500,7,20,2,5,8,1,1
501,20,9,10,2,10,1,1
502,10,4,11,20,10,-1,1
503,20,7,10,3,10,1,1
504,10,6,9,2,3,-1,0
505,10,9,4,20,10,-1,0
506,2,10,10,7,10,-1,0
507,3,5,10,10,6,1,1
508,11,6,20,7,8,-1,0
509,10,8,11,4,10,-1,1
510,2,10,10,3,8,1,0
511,4,9,10,3,10,0,1
512,9,3,5,7,10,-1,0
513,20,4,10,2,5,1,0
514,20,7,10,9,3,1,1
515,10,10,7,4,2,-1,1
516,3,10,11,4,5,1,0
517,4,10,6,11,10,-1,0
518,11,10,4,5,10,-1,0
519,9,4,3,20,10,-1,1
520,6,10,10,2,4,0,0
521,11,3,10,6,4,1,0
522,10,10,11,4,3,-1,1
523,8,9,3,5,11,1,0
524,7,10,9,10,10,-1,0
525,7,3,10,20,10,-1,1
526,20,5,10,9,10,1,1
527,2,9,3,20,8,-1,0
528,4,9,20,10,7,-1,1
529,2,10,7,20,10,-1,1
530,10,10,3,5,2,-1,1
531,20,8,10,10,10,0,0
532,10,10,20,10,4,-1,0
533,5,9,3,10,2,-1,1
534,2,11,10,5,10,1,1
535,6,11,10,10,3,-1,0
536,2,10,5,10,11,1,1
537,8,4,11,10,20,1,1
538,9,6,2,4,10,1,0
539,3,6,10,20,11,-1,0
540,6,10,8,9,20,-1,0
541,20,2,8,9,10,0,0
542,7,9,10,8,10,1,1
543,2,5,10,20,7,-1,1
544,10,8,10,20,11,-1,1
545,4,20,10,6,2,1,1
546,10,6,7,10,3,1,1
547,2,10,10,6,3,1,1
548,10,11,6,20,8,-1,0
549,10,6,10,10,5,-1,0
550,20,8,10,5,6,1,1
551,11,20,8,6,10,0,0
552,4,2,20,10,9,-1,0
553,7,10,6,10,2,1,0
554,2,7,8,9,4,1,1
555,8,5,10,6,11,-1,0
556,10,6,5,7,20,-1,1
557,10,7,10,2,5,-1,1
558,7,10,2,10,10,-1,0
559,6,2,10,10,3,1,1
560,3,10,6,5,8,1,0
561,10,10,11,6,2,-1,0
562,8,10,10,2,10,-1,1
563,2,9,5,10,7,1,1
564,2,10,4,8,9,0,1
565,8,10,5,7,10,-1,0
566,20,9,10,10,3,1,1
567,10,5,3,20,10,-1,1
568,4,20,6,2,7,1,1
569,10,4,10,2,5,-1,1
570,5,6,10,10,20,-1,0
571,10,9,10,4,7,-1,1
572,2,20,8,10,5,0,0
573,9,10,10,11,2,1,1
574,11,9,5,8,7,0,0
575,2,4,20,6,10,-1,1
576,10,3,10,10,9,1,1
577,10,10,4,11,6,-1,1
578,4,10,11,7,10,-1,0
579,10,8,7,2,3,-1,1
580,10,10,5,4,6,-1,0
581,5,11,7,4,9,1,0
582,4,11,9,20,2,-1,0
583,20,7,3,8,10,1,1
584,6,10,3,4,8,-1,1
585,9,10,10,20,5,-1,0
586,6,10,7,11,9,-1,0
587,2,7,10,8,9,1,1
588,8,10,10,4,3,-1,1
589,9,20,7,3,8,1,1
590,6,4,20,9,10,-1,1
591,20,7,3,10,9,1,1
592,8,10,7,4,10,-1,1
593,3,2,10,20,6,-1,0
594,6,10,10,20,4,-1,1
595,10,6,10,10,7,1,1
596,8,4,10,6,2,1,1
597,9,8,3,10,2,-1,1
598,20,10,10,9,4,1,1
599,10,10,20,11,9,-1,0
600,10,2,6,5,10,-1,1
601,5,9,10,6,4,1,0
602,5,4,8,3,2,1,0
603,10,2,7,4,10,1,0
604,10,7,20,9,6,-1,0
605,10,5,3,4,2,-1,0
606,10,8,5,20,3,-1,0
607,10,8,5,11,10,-1,1
608,10,10,6,10,5,1,0
609,2,10,20,6,8,-1,0
610,10,3,7,20,2,-1,1
611,11,10,7,10,3,-1,0
612,10,7,5,20,3,-1,0
613,9,6,5,7,10,-1,0
614,3,10,8,10,6,1,1
615,10,6,10,2,3,-1,0
616,6,2,10,10,10,1,1
617,7,3,5,10,6,1,0
618,5,2,3,10,6,1,0
619,11,9,10,7,5,-1,1
620,4,10,11,5,6,-1,0
621,5,10,2,9,7,-1,1
622,5,6,20,8,3,-1,0
623,9,10,5,11,4,1,0
624,2,10,8,3,10,-1,1
625,3,7,9,10,5,-1,0
626,2,9,6,5,3,1,0
627,6,9,11,4,10,-1,0
628,10,6,9,11,8,1,1
629,11,6,20,10,9,-1,1
630,2,3,10,5,10,-1,0
631,10,20,10,4,2,1,1
632,11,2,3,5,10,-1,1
633,4,9,11,8,10,1,1
634,10,9,20,7,6,-1,0
635,9,7,11,3,8,-1,0
636,6,10,2,5,9,0,0
637,2,11,4,5,10,1,0
638,11,20,2,10,4,1,1
639,9,7,11,3,10,-1,0
640,20,10,10,10,4,0,0
641,5,20,9,10,4,1,1
642,7,10,2,20,10,-1,0
643,6,11,20,8,10,-1,0
644,8,10,2,20,10,-1,0
645,9,7,10,10,10,1,1
646,2,3,20,10,10,-1,0
647,10,10,3,8,10,-1,1
648,10,10,11,10,9,1,1
649,11,7,10,9,5,1,1
650,9,4,10,7,10,1,1
651,9,20,10,10,6,1,1
652,7,10,8,10,9,1,1
653,10,10,9,7,4,-1,1
654,9,10,10,8,10,-1,1
655,2,20,10,10,10,0,0
656,5,10,9,3,7,-1,1
657,6,9,11,8,10,-1,0
658,20,10,10,11,6,1,1
659,10,10,4,2,3,-1,1
660,10,2,10,7,10,-1,0
661,4,9,20,6,7,-1,1
662,10,9,10,5,4,-1,1
663,7,10,10,3,9,-1,0
664,10,6,4,20,7,-1,1
665,10,2,11,9,20,-1,0
666,9,3,10,20,10,-1,1
667,10,11,9,10,6,-1,1
668,11,10,3,2,20,-1,0
669,20,2,5,10,6,1,1
670,3,11,10,10,7,1,1
671,10,3,10,10,7,1,1
672,7,10,4,20,10,-1,1
673,5,10,4,11,20,0,1
674,11,10,10,10,3,-1,1
675,20,8,9,4,3,1,1
676,4,9,5,8,6,1,0
677,10,9,11,10,10,1,1
678,10,6,5,8,10,-1,1
679,9,20,10,10,8,1,1
680,10,10,10,5,2,-1,0
681,4,5,7,10,20,1,1
682,20,10,10,4,6,1,0
683,9,20,8,10,10,0,0
684,6,5,7,8,4,1,1
685,10,7,10,6,5,1,0
686,11,5,8,10,4,1,1
687,8,4,7,10,3,1,0
688,8,5,7,2,20,-1,1
689,2,3,20,8,6,-1,1
690,10,6,2,5,7,-1,0
691,9,3,10,5,10,1,1
692,10,7,20,4,10,-1,1
693,10,6,10,10,3,1,1
694,9,10,5,2,20,-1,1
695,8,4,10,9,10,-1,0
696,10,3,7,20,4,-1,1
697,10,7,5,6,3,-1,1
698,10,8,4,10,9,-1,1
699,10,2,10,7,10,-1,0
700,10,6,9,20,8,-1,0
701,5,9,8,20,3,-1,0
702,5,9,8,3,6,-1,1
703,10,4,10,7,10,-1,0
704,9,10,2,5,10,-1,1
705,6,10,7,5,3,-1,1
706,10,8,9,10,3,1,1
707,4,5,3,7,6,1,1
708,6,10,4,2,10,-1,1
709,7,10,10,3,8,-1,1
710,10,10,20,7,5,-1,1
711,10,10,9,2,5,-1,1
712,7,9,11,10,2,1,1
713,10,8,10,10,3,-1,0
714,5,10,10,10,3,1,1
715,10,11,8,10,5,-1,1
716,11,4,9,10,10,-1,0
717,9,2,11,10,10,1,1
718,4,6,11,2,10,1,1
719,7,10,10,9,11,1,1
720,6,20,2,4,10,1,0
721,10,11,20,3,6,-1,1
722,4,8,7,20,11,-1,0
723,2,11,6,8,4,1,0
724,5,10,2,7,6,-1,1
725,20,8,10,7,6,0,0
726,10,3,10,2,10,-1,0
727,7,10,6,20,4,-1,1
728,6,7,8,10,10,-1,0
729,10,10,9,7,4,-1,1
730,10,8,10,5,6,1,0
731,11,9,6,20,4,-1,0
732,7,10,8,4,11,-1,0
733,11,3,10,20,6,-1,1
734,6,10,4,7,2,-1,0
735,10,7,11,9,10,1,1
736,2,9,3,20,7,-1,1
737,8,2,6,20,4,-1,1
738,9,4,20,7,8,-1,0
739,5,10,20,3,2,-1,1
740,6,10,2,9,10,-1,1
741,10,10,10,4,5,-1,0
742,8,20,6,11,4,1,1
743,2,10,20,7,11,-1,0
744,8,10,2,11,5,-1,1
745,10,7,20,11,10,-1,1
746,3,20,5,4,6,1,0
747,10,5,10,6,3,1,0
748,4,3,5,10,10,1,1
749,20,10,9,8,2,1,1
750,4,5,6,9,10,1,1
751,10,9,10,11,4,1,1
752,11,10,9,2,7,-1,1
753,10,5,8,2,3,-1,1
754,3,8,9,5,10,1,1
755,10,10,11,3,10,-1,0
756,4,11,2,5,3,-1,1
757,10,20,10,5,6,1,1
758,10,9,8,20,11,-1,1
759,4,7,9,3,10,-1,0
760,4,6,10,10,2,1,1
761,4,10,11,10,20,1,1
762,3,10,7,10,8,1,1
763,20,2,10,8,10,0,0
764,7,10,6,20,11,-1,1
765,10,8,10,10,4,1,1
766,3,6,10,7,9,-1,0
767,11,5,10,10,8,1,1
768,10,3,6,8,4,1,0
769,10,3,5,10,10,-1,0
770,10,20,3,6,7,1,1
771,3,11,5,10,2,1,1
772,8,11,10,10,6,1,1
773,10,3,4,20,2,-1,0
774,5,10,8,10,20,-1,0
775,10,5,9,20,3,-1,1
776,7,20,5,4,10,1,0
777,2,10,8,3,6,-1,1
778,10,10,4,8,6,-1,1
779,7,9,20,3,5,-1,0
780,9,7,20,10,3,-1,1
781,4,10,10,9,20,1,1
782,10,5,4,10,20,-1,1
783,10,2,10,7,20,1,1
784,4,8,5,2,10,1,0
785,20,8,7,3,6,1,0
786,11,10,2,4,5,-1,0
787,5,10,10,3,10,-1,0
788,3,10,5,20,7,-1,0
789,7,11,10,10,10,-1,0
790,10,3,11,10,8,1,1
791,20,2,11,8,10,1,1
792,20,2,10,10,10,0,0
793,11,2,20,4,10,-1,0
794,10,3,4,9,6,0,1
795,5,9,4,10,10,-1,0
796,7,9,11,5,4,0,1
797,2,10,10,10,5,1,1
798,10,4,3,5,20,-1,0
799,5,8,20,3,2,-1,0
800,4,7,10,10,20,1,1
801,20,11,10,7,5,1,1
802,10,10,4,6,20,-1,1
803,2,7,6,4,10,1,0
804,10,9,6,11,5,-1,0
805,2,10,11,4,10,1,1
806,5,10,6,9,10,-1,0
807,6,4,2,9,5,1,0
808,10,9,6,20,10,-1,0
809,9,10,20,10,11,-1,0
810,6,3,2,8,20,-1,0
811,9,6,10,20,8,-1,1
812,11,2,9,5,6,1,0
813,10,11,8,6,5,-1,1
814,3,4,20,7,10,-1,1
815,6,2,11,5,20,1,1
816,10,5,8,2,3,-1,0
817,9,7,10,11,10,1,1
818,10,9,5,7,10,-1,0
819,7,8,10,5,10,0,1
820,10,10,8,2,3,-1,1
821,10,7,6,10,10,-1,0
822,5,2,9,10,7,-1,0
823,5,3,2,4,20,-1,0
824,5,10,7,6,4,-1,1
825,11,20,10,10,9,1,1
826,8,3,10,5,7,-1,0
827,20,11,3,10,7,1,1
828,3,2,11,4,10,1,1
829,20,3,11,9,10,1,1
830,5,10,4,7,10,-1,1
831,10,4,10,10,3,1,1
832,10,3,20,10,8,-1,1
833,11,8,10,5,3,-1,1
834,10,10,5,10,20,-1,0
835,10,3,11,8,10,-1,0
836,8,5,3,20,4,-1,1
837,10,2,20,11,4,-1,1
838,4,6,9,10,7,-1,0
839,5,20,6,8,10,0,0
840,10,3,6,10,20,1,1
